stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2025-02-03 01:00:08,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,14.7616,1.0000000000,2025-02-03 01:00:08,0,0
650,дім,49.343484,28.729830,2025-02-03 01:00:08,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,10.6895,1.0000000000,2025-02-03 01:00:08,0,0
650,дім,49.343484,28.729830,2025-02-03 01:00:08,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,10.0000,1.2450000000,2025-02-03 01:00:08,0,0
650,дім,49.343484,28.729830,2025-02-03 01:00:08,0,E1,Temperature,Temperature,Температура,°C,°C,3.8521,1.0000000000,2025-02-03 01:00:08,0,0
650,дім,49.343484,28.729830,2025-02-03 01:00:08,0,E2,Humidity,Humidity,Вологість,%,%,69.9847,1.0000000000,2025-02-03 01:00:08,0,0
650,дім,49.343484,28.729830,2025-02-03 01:00:08,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99238.1584,0.0075006168,2025-02-03 01:00:08,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,33.5465,1.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,30.3725,1.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,A4,PM1.0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,24.5595,1.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,B2,CO,CO,Монооксид вуглецю,ppm,мкг/м³,0.5000,1164.2000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,B3,O₃,O₃,O₃,ppm,мкг/м³,0.0400,1995.7000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),mg/m3,мкг/м³,0.0150,1000.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,E1,Temperature,Temperature,Температура,°C,°C,3.1035,1.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,E1,Temperature,Temperature,Температура,°C,°C,1.3925,1.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,E1,Temperature,Temperature,Температура,°C,°C,-4.1350,1.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,E2,Humidity,Humidity,Вологість,%,%,80.6350,1.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,E2,Humidity,Humidity,Вологість,%,%,74.5910,1.0000000000,2025-02-03 01:00:44,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-02-03 01:00:44,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98969.2625,0.0075006168,2025-02-03 01:00:44,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-02-03 01:00:41,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,36.0550,1.0000000000,2025-02-03 01:00:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-02-03 01:00:41,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,13.9050,1.0000000000,2025-02-03 01:00:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-02-03 01:00:41,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,13.2895,1.0000000000,2025-02-03 01:00:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-02-03 01:00:41,0,E1,Temperature,Temperature,Температура,°C,°C,2.6255,1.0000000000,2025-02-03 01:00:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-02-03 01:00:41,0,E1,Temperature,Temperature,Температура,°C,°C,1.6570,1.0000000000,2025-02-03 01:00:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-02-03 01:00:41,0,E2,Humidity,Humidity,Вологість,%,%,62.3545,1.0000000000,2025-02-03 01:00:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-02-03 01:00:41,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99195.8535,0.0075006168,2025-02-03 01:00:41,0,0
1825,Центральна площа,49.105637,29.206617,2025-02-03 00:59:57,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,40.1500,1.0000000000,2025-02-03 00:59:57,0,0
1825,Центральна площа,49.105637,29.206617,2025-02-03 00:59:57,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,17.1667,1.0000000000,2025-02-03 00:59:57,0,0
1825,Центральна площа,49.105637,29.206617,2025-02-03 00:59:57,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,13.2722,1.0000000000,2025-02-03 00:59:57,0,0
1825,Центральна площа,49.105637,29.206617,2025-02-03 00:59:57,0,E1,Temperature,Temperature,Температура,°C,°C,2.8583,1.0000000000,2025-02-03 00:59:57,0,0
1825,Центральна площа,49.105637,29.206617,2025-02-03 00:59:57,0,E1,Temperature,Temperature,Температура,°C,°C,1.4911,1.0000000000,2025-02-03 00:59:57,0,0
1825,Центральна площа,49.105637,29.206617,2025-02-03 00:59:57,0,E2,Humidity,Humidity,Вологість,%,%,74.7472,1.0000000000,2025-02-03 00:59:57,0,0
1825,Центральна площа,49.105637,29.206617,2025-02-03 00:59:57,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99688.4394,0.0075006168,2025-02-03 00:59:57,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-02-03 00:59:55,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,13.4200,1.0000000000,2025-02-03 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-02-03 00:59:55,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,7.4467,1.0000000000,2025-02-03 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-02-03 00:59:55,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,10.3033,1.0000000000,2025-02-03 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-02-03 00:59:55,0,E1,Temperature,Temperature,Температура,°C,°C,0.8873,1.0000000000,2025-02-03 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-02-03 00:59:55,0,E1,Temperature,Temperature,Температура,°C,°C,0.5760,1.0000000000,2025-02-03 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-02-03 00:59:55,0,E2,Humidity,Humidity,Вологість,%,%,68.6067,1.0000000000,2025-02-03 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-02-03 00:59:55,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98980.5747,0.0075006168,2025-02-03 00:59:55,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-02-03 01:00:25,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,32.1950,1.0000000000,2025-02-03 01:00:25,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-02-03 01:00:25,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,16.8950,1.0000000000,2025-02-03 01:00:25,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-02-03 01:00:25,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,13.2905,1.0000000000,2025-02-03 01:00:25,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-02-03 01:00:25,0,E1,Temperature,Temperature,Температура,°C,°C,3.4950,1.0000000000,2025-02-03 01:00:25,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-02-03 01:00:25,0,E1,Temperature,Temperature,Температура,°C,°C,2.2350,1.0000000000,2025-02-03 01:00:25,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-02-03 01:00:25,0,E2,Humidity,Humidity,Вологість,%,%,70.1195,1.0000000000,2025-02-03 01:00:25,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-02-03 01:00:25,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99337.2455,0.0075006168,2025-02-03 01:00:25,0,0
1909,VNTU2,49.2330582,28.4103502,2025-02-03 00:59:59,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,12.2000,1.0000000000,2025-02-03 00:59:59,0,0
1909,VNTU2,49.2330582,28.4103502,2025-02-03 00:59:59,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,6.3158,1.0000000000,2025-02-03 00:59:59,0,0
1909,VNTU2,49.2330582,28.4103502,2025-02-03 00:59:59,0,B1,NO₂,NO₂,Діоксид азоту,ppm,мкг/м³,0.0389,1912.5000000000,2025-02-03 00:59:59,0,0
1909,VNTU2,49.2330582,28.4103502,2025-02-03 00:59:59,0,B2,CO,CO,Монооксид вуглецю,ppm,мкг/м³,3.4403,1164.2000000000,2025-02-03 00:59:59,0,0
1909,VNTU2,49.2330582,28.4103502,2025-02-03 00:59:59,0,C2,NH₃,NH₃,Аміак,ppm,мкг/м³,0.0002,696.5200000000,2025-02-03 00:59:59,0,0
1909,VNTU2,49.2330582,28.4103502,2025-02-03 00:59:59,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,15.1111,1.0000000000,2025-02-03 00:59:59,0,0
