stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
774,Станція замостя,49.245473,28.493727,2024-07-11 01:00:01,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,14.1230,1.0000000000,2024-07-11 01:00:01,0,0
774,Станція замостя,49.245473,28.493727,2024-07-11 01:00:01,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,11.2535,1.0000000000,2024-07-11 01:00:01,0,0
774,Станція замостя,49.245473,28.493727,2024-07-11 01:00:01,0,E1,Temperature,Temperature,Температура,°C,°C,26.8115,1.0000000000,2024-07-11 01:00:01,0,0
774,Станція замостя,49.245473,28.493727,2024-07-11 01:00:01,0,E2,Humidity,Humidity,Вологість,%,%,69.5955,1.0000000000,2024-07-11 01:00:01,0,0
774,Станція замостя,49.245473,28.493727,2024-07-11 01:00:01,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98882.8345,0.0075006168,2024-07-11 01:00:01,0,0
790,станція Вишенька,49.2270093,28.4189984,2024-07-11 00:59:59,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,13.8550,1.0000000000,2024-07-11 00:59:59,0,0
790,станція Вишенька,49.2270093,28.4189984,2024-07-11 00:59:59,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,7.2125,1.0000000000,2024-07-11 00:59:59,0,0
790,станція Вишенька,49.2270093,28.4189984,2024-07-11 00:59:59,0,E1,Temperature,Temperature,Температура,°C,°C,26.7405,1.0000000000,2024-07-11 00:59:59,0,0
790,станція Вишенька,49.2270093,28.4189984,2024-07-11 00:59:59,0,E2,Humidity,Humidity,Вологість,%,%,61.0450,1.0000000000,2024-07-11 00:59:59,0,0
790,станція Вишенька,49.2270093,28.4189984,2024-07-11 00:59:59,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98905.9360,0.0075006168,2024-07-11 00:59:59,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2024-07-11 00:59:41,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,14.1300,1.0000000000,2024-07-11 00:59:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2024-07-11 00:59:41,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,7.8150,1.0000000000,2024-07-11 00:59:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2024-07-11 00:59:41,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,14.1730,1.0000000000,2024-07-11 00:59:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2024-07-11 00:59:41,0,E1,Temperature,Temperature,Температура,°C,°C,25.5260,1.0000000000,2024-07-11 00:59:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2024-07-11 00:59:41,0,E1,Temperature,Temperature,Температура,°C,°C,26.1960,1.0000000000,2024-07-11 00:59:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2024-07-11 00:59:41,0,E2,Humidity,Humidity,Вологість,%,%,65.2350,1.0000000000,2024-07-11 00:59:41,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2024-07-11 00:59:41,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99185.5035,0.0075006168,2024-07-11 00:59:41,0,0
1825,Центральна площа,49.105637,29.206617,2024-07-11 00:58:54,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,15.5056,1.0000000000,2024-07-11 00:58:54,0,0
1825,Центральна площа,49.105637,29.206617,2024-07-11 00:58:54,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,8.1556,1.0000000000,2024-07-11 00:58:54,0,0
1825,Центральна площа,49.105637,29.206617,2024-07-11 00:58:54,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,15.9156,1.0000000000,2024-07-11 00:58:54,0,0
1825,Центральна площа,49.105637,29.206617,2024-07-11 00:58:54,0,E1,Temperature,Temperature,Температура,°C,°C,24.9756,1.0000000000,2024-07-11 00:58:54,0,0
1825,Центральна площа,49.105637,29.206617,2024-07-11 00:58:54,0,E1,Temperature,Temperature,Температура,°C,°C,25.9706,1.0000000000,2024-07-11 00:58:54,0,0
1825,Центральна площа,49.105637,29.206617,2024-07-11 00:58:54,0,E2,Humidity,Humidity,Вологість,%,%,73.2328,1.0000000000,2024-07-11 00:58:54,0,0
1825,Центральна площа,49.105637,29.206617,2024-07-11 00:58:54,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99502.9633,0.0075006168,2024-07-11 00:58:54,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2024-07-11 00:59:55,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,8.4062,1.0000000000,2024-07-11 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2024-07-11 00:59:55,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,4.0688,1.0000000000,2024-07-11 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2024-07-11 00:59:55,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,10.6931,1.0000000000,2024-07-11 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2024-07-11 00:59:55,0,E1,Temperature,Temperature,Температура,°C,°C,23.5231,1.0000000000,2024-07-11 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2024-07-11 00:59:55,0,E1,Temperature,Temperature,Температура,°C,°C,24.0606,1.0000000000,2024-07-11 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2024-07-11 00:59:55,0,E2,Humidity,Humidity,Вологість,%,%,80.0288,1.0000000000,2024-07-11 00:59:55,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2024-07-11 00:59:55,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98963.3806,0.0075006168,2024-07-11 00:59:55,0,0
