stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2023-09-18 01:00:53,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,4.6630,1.0000000000,2023-09-18 01:00:53,0,0
650,дім,49.343484,28.729830,2023-09-18 01:00:53,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,4.1640,1.0000000000,2023-09-18 01:00:53,0,0
650,дім,49.343484,28.729830,2023-09-18 01:00:53,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,10.0000,1.2450000000,2023-09-18 01:00:53,0,0
650,дім,49.343484,28.729830,2023-09-18 01:00:53,0,E1,Temperature,Temperature,Температура,°C,°C,15.4130,1.0000000000,2023-09-18 01:00:53,0,0
650,дім,49.343484,28.729830,2023-09-18 01:00:53,0,E2,Humidity,Humidity,Вологість,%,%,62.9510,1.0000000000,2023-09-18 01:00:53,0,0
650,дім,49.343484,28.729830,2023-09-18 01:00:53,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99461.9030,0.0075006168,2023-09-18 01:00:53,0,0
767,Соборна 36,49.232859,28.470453,2023-09-18 01:00:22,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,6.4879,1.0000000000,2023-09-18 01:00:22,0,0
767,Соборна 36,49.232859,28.470453,2023-09-18 01:00:22,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,3.3900,1.0000000000,2023-09-18 01:00:22,0,0
767,Соборна 36,49.232859,28.470453,2023-09-18 01:00:22,0,E1,Temperature,Temperature,Температура,°C,°C,17.6468,1.0000000000,2023-09-18 01:00:22,0,0
767,Соборна 36,49.232859,28.470453,2023-09-18 01:00:22,0,E2,Humidity,Humidity,Вологість,%,%,50.8926,1.0000000000,2023-09-18 01:00:22,0,0
767,Соборна 36,49.232859,28.470453,2023-09-18 01:00:22,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99208.8400,0.0075006168,2023-09-18 01:00:22,0,0
790,станція Вишенька,49.2270093,28.4189984,2023-09-18 01:00:29,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,14.0240,1.0000000000,2023-09-18 01:00:29,0,0
790,станція Вишенька,49.2270093,28.4189984,2023-09-18 01:00:29,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,7.1600,1.0000000000,2023-09-18 01:00:29,0,0
790,станція Вишенька,49.2270093,28.4189984,2023-09-18 01:00:29,0,E1,Temperature,Temperature,Температура,°C,°C,16.8595,1.0000000000,2023-09-18 01:00:29,0,0
790,станція Вишенька,49.2270093,28.4189984,2023-09-18 01:00:29,0,E2,Humidity,Humidity,Вологість,%,%,52.3970,1.0000000000,2023-09-18 01:00:29,0,0
790,станція Вишенька,49.2270093,28.4189984,2023-09-18 01:00:29,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99242.8715,0.0075006168,2023-09-18 01:00:29,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2023-09-18 01:00:10,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,14.3500,1.0000000000,2023-09-18 01:00:10,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2023-09-18 01:00:10,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,6.3950,1.0000000000,2023-09-18 01:00:10,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2023-09-18 01:00:10,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,13.6995,1.0000000000,2023-09-18 01:00:10,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2023-09-18 01:00:10,0,E1,Temperature,Temperature,Температура,°C,°C,15.4110,1.0000000000,2023-09-18 01:00:10,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2023-09-18 01:00:10,0,E1,Temperature,Temperature,Температура,°C,°C,16.2260,1.0000000000,2023-09-18 01:00:10,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2023-09-18 01:00:10,0,E2,Humidity,Humidity,Вологість,%,%,59.8840,1.0000000000,2023-09-18 01:00:10,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2023-09-18 01:00:10,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99464.1940,0.0075006168,2023-09-18 01:00:10,0,0
1813,Якушинці,49.2571196,28.3671704,2023-09-18 01:00:26,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,14.7800,1.0000000000,2023-09-18 01:00:26,0,0
1813,Якушинці,49.2571196,28.3671704,2023-09-18 01:00:26,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,6.9000,1.0000000000,2023-09-18 01:00:26,0,0
1813,Якушинці,49.2571196,28.3671704,2023-09-18 01:00:26,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,11.9545,1.0000000000,2023-09-18 01:00:26,0,0
1813,Якушинці,49.2571196,28.3671704,2023-09-18 01:00:26,0,E1,Temperature,Temperature,Температура,°C,°C,13.5060,1.0000000000,2023-09-18 01:00:26,0,0
1813,Якушинці,49.2571196,28.3671704,2023-09-18 01:00:26,0,E1,Temperature,Temperature,Температура,°C,°C,14.7370,1.0000000000,2023-09-18 01:00:26,0,0
1813,Якушинці,49.2571196,28.3671704,2023-09-18 01:00:26,0,E2,Humidity,Humidity,Вологість,%,%,65.0785,1.0000000000,2023-09-18 01:00:26,0,0
1813,Якушинці,49.2571196,28.3671704,2023-09-18 01:00:26,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99038.8745,0.0075006168,2023-09-18 01:00:26,0,0
1825,Центральна площа,49.105637,29.206617,2023-09-18 01:00:10,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,33.2895,1.0000000000,2023-09-18 01:00:10,0,0
1825,Центральна площа,49.105637,29.206617,2023-09-18 01:00:10,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,15.8158,1.0000000000,2023-09-18 01:00:10,0,0
1825,Центральна площа,49.105637,29.206617,2023-09-18 01:00:10,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,14.3163,1.0000000000,2023-09-18 01:00:10,0,0
1825,Центральна площа,49.105637,29.206617,2023-09-18 01:00:10,0,E1,Temperature,Temperature,Температура,°C,°C,12.6263,1.0000000000,2023-09-18 01:00:10,0,0
1825,Центральна площа,49.105637,29.206617,2023-09-18 01:00:10,0,E1,Temperature,Temperature,Температура,°C,°C,13.8179,1.0000000000,2023-09-18 01:00:10,0,0
1825,Центральна площа,49.105637,29.206617,2023-09-18 01:00:10,0,E2,Humidity,Humidity,Вологість,%,%,74.4053,1.0000000000,2023-09-18 01:00:10,0,0
1825,Центральна площа,49.105637,29.206617,2023-09-18 01:00:10,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99915.8368,0.0075006168,2023-09-18 01:00:10,0,0
