stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2023-10-23 01:00:52,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,4.8975,1.0000000000,2023-10-23 01:00:52,0,0
650,дім,49.343484,28.729830,2023-10-23 01:00:52,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,3.4562,1.0000000000,2023-10-23 01:00:52,0,0
650,дім,49.343484,28.729830,2023-10-23 01:00:52,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,10.0000,1.2450000000,2023-10-23 01:00:52,0,0
650,дім,49.343484,28.729830,2023-10-23 01:00:52,0,E1,Temperature,Temperature,Температура,°C,°C,14.5388,1.0000000000,2023-10-23 01:00:52,0,0
650,дім,49.343484,28.729830,2023-10-23 01:00:52,0,E2,Humidity,Humidity,Вологість,%,%,70.3838,1.0000000000,2023-10-23 01:00:52,0,0
650,дім,49.343484,28.729830,2023-10-23 01:00:52,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98180.4500,0.0075006168,2023-10-23 01:00:52,0,0
767,Соборна 36,49.232859,28.470453,2023-10-23 01:00:41,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,9.7811,1.0000000000,2023-10-23 01:00:41,0,0
767,Соборна 36,49.232859,28.470453,2023-10-23 01:00:41,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,4.1295,1.0000000000,2023-10-23 01:00:41,0,0
767,Соборна 36,49.232859,28.470453,2023-10-23 01:00:41,0,E1,Temperature,Temperature,Температура,°C,°C,15.5368,1.0000000000,2023-10-23 01:00:41,0,0
767,Соборна 36,49.232859,28.470453,2023-10-23 01:00:41,0,E2,Humidity,Humidity,Вологість,%,%,62.9153,1.0000000000,2023-10-23 01:00:41,0,0
767,Соборна 36,49.232859,28.470453,2023-10-23 01:00:41,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,97972.3421,0.0075006168,2023-10-23 01:00:41,0,0
774,Станція замостя,49.245473,28.493727,2023-10-23 00:59:56,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,15.6232,1.0000000000,2023-10-23 00:59:56,0,0
