stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2025-08-21 00:59:25,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,5.4774,1.0000000000,2025-08-21 00:59:25,0,0
650,дім,49.343484,28.729830,2025-08-21 00:59:25,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,4.0400,1.0000000000,2025-08-21 00:59:25,0,0
650,дім,49.343484,28.729830,2025-08-21 00:59:25,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,9.1579,1.2450000000,2025-08-21 00:59:25,0,0
650,дім,49.343484,28.729830,2025-08-21 00:59:25,0,E1,Temperature,Temperature,Температура,°C,°C,21.8374,1.0000000000,2025-08-21 00:59:25,0,0
650,дім,49.343484,28.729830,2025-08-21 00:59:25,0,E2,Humidity,Humidity,Вологість,%,%,76.0268,1.0000000000,2025-08-21 00:59:25,0,0
650,дім,49.343484,28.729830,2025-08-21 00:59:25,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,97920.3016,0.0075006168,2025-08-21 00:59:25,0,0
774,Станція замостя,49.245473,28.493727,2025-08-21 01:00:00,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,10.7060,1.0000000000,2025-08-21 01:00:00,0,0
774,Станція замостя,49.245473,28.493727,2025-08-21 01:00:00,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,6.1165,1.0000000000,2025-08-21 01:00:00,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-08-21 01:00:06,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,8.7770,1.0000000000,2025-08-21 01:00:06,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-08-21 01:00:06,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,3.8515,1.0000000000,2025-08-21 01:00:06,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-08-21 01:00:06,0,E1,Temperature,Temperature,Температура,°C,°C,20.7420,1.0000000000,2025-08-21 01:00:06,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-08-21 01:00:06,0,E2,Humidity,Humidity,Вологість,%,%,56.8910,1.0000000000,2025-08-21 01:00:06,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-08-21 01:00:06,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,97721.7690,0.0075006168,2025-08-21 01:00:06,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-08-21 00:59:24,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,21.1337,1.0000000000,2025-08-21 00:59:24,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-08-21 00:59:24,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,18.7595,1.0000000000,2025-08-21 00:59:24,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-08-21 00:59:24,0,A4,PM1.0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,15.7263,1.0000000000,2025-08-21 00:59:24,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-08-21 00:59:24,0,B2,CO,CO,Монооксид вуглецю,ppm,мкг/м³,0.0000,1164.2000000000,2025-08-21 00:59:24,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-08-21 00:59:24,0,B3,O₃,O₃,O₃,ppm,мкг/м³,0.0200,1995.7000000000,2025-08-21 00:59:24,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-08-21 00:59:24,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),mg/m3,мкг/м³,0.0160,1000.0000000000,2025-08-21 00:59:24,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-08-21 00:59:24,0,E1,Temperature,Temperature,Температура,°C,°C,21.1911,1.0000000000,2025-08-21 00:59:24,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-08-21 00:59:24,0,E1,Temperature,Temperature,Температура,°C,°C,14.1000,1.0000000000,2025-08-21 00:59:24,0,0
