stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2024-05-02 00:59:47,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,2.5533,1.0000000000,2024-05-02 00:59:47,0,0
650,дім,49.343484,28.729830,2024-05-02 00:59:47,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,1.6983,1.0000000000,2024-05-02 00:59:47,0,0
650,дім,49.343484,28.729830,2024-05-02 00:59:47,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,10.0000,1.2450000000,2024-05-02 00:59:47,0,0
650,дім,49.343484,28.729830,2024-05-02 00:59:47,0,E1,Temperature,Temperature,Температура,°C,°C,14.5029,1.0000000000,2024-05-02 00:59:47,0,0
650,дім,49.343484,28.729830,2024-05-02 00:59:47,0,E2,Humidity,Humidity,Вологість,%,%,68.6629,1.0000000000,2024-05-02 00:59:47,0,0
650,дім,49.343484,28.729830,2024-05-02 00:59:47,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99147.8886,0.0075006168,2024-05-02 00:59:47,0,0
767,Соборна 36,49.232859,28.470453,2024-05-02 00:59:52,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,12.1235,1.0000000000,2024-05-02 00:59:52,0,0
767,Соборна 36,49.232859,28.470453,2024-05-02 00:59:52,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,3.7230,1.0000000000,2024-05-02 00:59:52,0,0
767,Соборна 36,49.232859,28.470453,2024-05-02 00:59:52,0,E1,Temperature,Temperature,Температура,°C,°C,18.9845,1.0000000000,2024-05-02 00:59:52,0,0
767,Соборна 36,49.232859,28.470453,2024-05-02 00:59:52,0,E2,Humidity,Humidity,Вологість,%,%,40.1900,1.0000000000,2024-05-02 00:59:52,0,0
767,Соборна 36,49.232859,28.470453,2024-05-02 00:59:52,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98830.1375,0.0075006168,2024-05-02 00:59:52,0,0
774,Станція замостя,49.245473,28.493727,2024-05-02 00:59:54,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,36.5815,1.0000000000,2024-05-02 00:59:54,0,0
774,Станція замостя,49.245473,28.493727,2024-05-02 00:59:54,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,19.0470,1.0000000000,2024-05-02 00:59:54,0,0
774,Станція замостя,49.245473,28.493727,2024-05-02 00:59:54,0,E1,Temperature,Temperature,Температура,°C,°C,17.5225,1.0000000000,2024-05-02 00:59:54,0,0
774,Станція замостя,49.245473,28.493727,2024-05-02 00:59:54,0,E2,Humidity,Humidity,Вологість,%,%,53.8175,1.0000000000,2024-05-02 00:59:54,0,0
774,Станція замостя,49.245473,28.493727,2024-05-02 00:59:54,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98891.7500,0.0075006168,2024-05-02 00:59:54,0,0
790,станція Вишенька,49.2270093,28.4189984,2024-05-02 00:59:55,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,22.8145,1.0000000000,2024-05-02 00:59:55,0,0
790,станція Вишенька,49.2270093,28.4189984,2024-05-02 00:59:55,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,9.4400,1.0000000000,2024-05-02 00:59:55,0,0
790,станція Вишенька,49.2270093,28.4189984,2024-05-02 00:59:55,0,E1,Temperature,Temperature,Температура,°C,°C,14.3815,1.0000000000,2024-05-02 00:59:55,0,0
