stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:00:01,0,33,SDS_P2,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,12.30,1.0000000000,2023-04-17 01:00:00,0,2
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:00:01,0,34,SDS_P1,PM10,Пил 10 мкм,ug/m3,мкг/м³,26.56,1.0000000000,2023-04-17 01:00:00,0,2
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:00:01,0,23,BME280_temperature,Temperature,Температура,°C,°C,10.04,1.0000000000,2023-04-17 01:00:00,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:00:01,0,24,BME280_humidity,Humidity,Вологість,%,%,77.28,1.0000000000,2023-04-17 01:00:00,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:00:01,0,25,BME280_pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98987.05,0.0075006168,2023-04-17 01:00:00,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:00:01,0,7,CO2,CO₂,CO₂,ppm,ppm,400.00,1.0000000000,2023-04-17 01:00:00,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:14:36,0,33,SDS_P2,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,15.04,1.0000000000,2023-04-17 01:14:36,0,2
774,Станція замостя,49.245473,28.493727,2023-04-17 01:14:36,0,34,SDS_P1,PM10,Пил 10 мкм,ug/m3,мкг/м³,17.31,1.0000000000,2023-04-17 01:14:36,0,1
774,Станція замостя,49.245473,28.493727,2023-04-17 01:14:36,0,23,BME280_temperature,Temperature,Температура,°C,°C,8.62,1.0000000000,2023-04-17 01:14:36,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:14:36,0,24,BME280_humidity,Humidity,Вологість,%,%,100.00,1.0000000000,2023-04-17 01:14:36,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:14:36,0,25,BME280_pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98987.37,0.0075006168,2023-04-17 01:14:36,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:14:36,0,7,CO2,CO₂,CO₂,ppm,ppm,400.00,1.0000000000,2023-04-17 01:14:36,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:14:22,0,33,SDS_P2,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,11.31,1.0000000000,2023-04-17 01:14:22,0,2
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:14:22,0,34,SDS_P1,PM10,Пил 10 мкм,ug/m3,мкг/м³,19.04,1.0000000000,2023-04-17 01:14:22,0,1
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:14:22,0,23,BME280_temperature,Temperature,Температура,°C,°C,9.99,1.0000000000,2023-04-17 01:14:22,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:14:22,0,24,BME280_humidity,Humidity,Вологість,%,%,77.46,1.0000000000,2023-04-17 01:14:22,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:14:22,0,25,BME280_pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98990.03,0.0075006168,2023-04-17 01:14:22,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:14:22,0,7,CO2,CO₂,CO₂,ppm,ppm,400.00,1.0000000000,2023-04-17 01:14:22,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:14:01,0,38,pm0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,11.92,1.0000000000,2023-04-17 01:14:01,0,2
1434,Lun-129,49.230306,28.392620,2023-04-17 01:14:01,0,5,pm25,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,14.42,1.0000000000,2023-04-17 01:14:01,0,2
1434,Lun-129,49.230306,28.392620,2023-04-17 01:14:01,0,6,pm10,PM10,Пил 10 мкм,ug/m3,мкг/м³,17.51,1.0000000000,2023-04-17 01:14:01,0,1
1434,Lun-129,49.230306,28.392620,2023-04-17 01:14:01,0,1,temperature,Temperature,Температура,°C,°C,7.86,1.0000000000,2023-04-17 01:14:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:14:01,0,2,humidity,Humidity,Вологість,%,%,100,1.0000000000,2023-04-17 01:14:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:14:01,0,3,pressure,Pressure,Атмосферний тиск,hPa,мм.рт.ст.,989.87,0.7500615758,2023-04-17 01:14:01,0,0
1769,Lun-315,49.243687,28.496432,2023-04-17 01:14:01,0,38,pm0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,9.85,1.0000000000,2023-04-17 01:14:01,0,2
1769,Lun-315,49.243687,28.496432,2023-04-17 01:14:01,0,5,pm25,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,10.94,1.0000000000,2023-04-17 01:14:01,0,2
1769,Lun-315,49.243687,28.496432,2023-04-17 01:14:01,0,6,pm10,PM10,Пил 10 мкм,ug/m3,мкг/м³,12,1.0000000000,2023-04-17 01:14:01,0,1
1769,Lun-315,49.243687,28.496432,2023-04-17 01:14:01,0,1,temperature,Temperature,Температура,°C,°C,10.22,1.0000000000,2023-04-17 01:14:01,0,0
1769,Lun-315,49.243687,28.496432,2023-04-17 01:14:01,0,2,humidity,Humidity,Вологість,%,%,84.83,1.0000000000,2023-04-17 01:14:01,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:29:59,0,33,SDS_P2,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,13.91,1.0000000000,2023-04-17 01:29:59,0,2
774,Станція замостя,49.245473,28.493727,2023-04-17 01:29:59,0,34,SDS_P1,PM10,Пил 10 мкм,ug/m3,мкг/м³,17.02,1.0000000000,2023-04-17 01:29:59,0,1
774,Станція замостя,49.245473,28.493727,2023-04-17 01:29:59,0,23,BME280_temperature,Temperature,Температура,°C,°C,8.61,1.0000000000,2023-04-17 01:29:59,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:29:59,0,24,BME280_humidity,Humidity,Вологість,%,%,100.00,1.0000000000,2023-04-17 01:29:59,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:29:59,0,25,BME280_pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98986.55,0.0075006168,2023-04-17 01:29:59,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:29:59,0,7,CO2,CO₂,CO₂,ppm,ppm,400.00,1.0000000000,2023-04-17 01:29:59,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:29:44,0,33,SDS_P2,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,12.80,1.0000000000,2023-04-17 01:29:44,0,2
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:29:44,0,34,SDS_P1,PM10,Пил 10 мкм,ug/m3,мкг/м³,20.79,1.0000000000,2023-04-17 01:29:44,0,2
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:29:44,0,23,BME280_temperature,Temperature,Температура,°C,°C,10.01,1.0000000000,2023-04-17 01:29:44,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:29:44,0,24,BME280_humidity,Humidity,Вологість,%,%,77.27,1.0000000000,2023-04-17 01:29:44,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:29:44,0,25,BME280_pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98985.47,0.0075006168,2023-04-17 01:29:44,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:29:44,0,7,CO2,CO₂,CO₂,ppm,ppm,400.00,1.0000000000,2023-04-17 01:29:44,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:30:01,0,38,pm0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,12.34,1.0000000000,2023-04-17 01:30:01,0,2
1434,Lun-129,49.230306,28.392620,2023-04-17 01:30:01,0,5,pm25,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,14.91,1.0000000000,2023-04-17 01:30:01,0,2
1434,Lun-129,49.230306,28.392620,2023-04-17 01:30:01,0,6,pm10,PM10,Пил 10 мкм,ug/m3,мкг/м³,18.09,1.0000000000,2023-04-17 01:30:01,0,1
1434,Lun-129,49.230306,28.392620,2023-04-17 01:30:01,0,1,temperature,Temperature,Температура,°C,°C,7.95,1.0000000000,2023-04-17 01:30:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:30:01,0,2,humidity,Humidity,Вологість,%,%,100,1.0000000000,2023-04-17 01:30:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:30:01,0,3,pressure,Pressure,Атмосферний тиск,hPa,мм.рт.ст.,989.76,0.7500615758,2023-04-17 01:30:01,0,0
1769,Lun-315,49.243687,28.496432,2023-04-17 01:30:02,0,38,pm0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,9.51,1.0000000000,2023-04-17 01:30:01,0,2
1769,Lun-315,49.243687,28.496432,2023-04-17 01:30:02,0,5,pm25,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,11.01,1.0000000000,2023-04-17 01:30:01,0,2
1769,Lun-315,49.243687,28.496432,2023-04-17 01:30:02,0,6,pm10,PM10,Пил 10 мкм,ug/m3,мкг/м³,12.86,1.0000000000,2023-04-17 01:30:01,0,1
1769,Lun-315,49.243687,28.496432,2023-04-17 01:30:02,0,1,temperature,Temperature,Температура,°C,°C,10.28,1.0000000000,2023-04-17 01:30:01,0,0
1769,Lun-315,49.243687,28.496432,2023-04-17 01:30:02,0,2,humidity,Humidity,Вологість,%,%,84.45,1.0000000000,2023-04-17 01:30:01,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:44:20,0,33,SDS_P2,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,14.36,1.0000000000,2023-04-17 01:44:20,0,2
774,Станція замостя,49.245473,28.493727,2023-04-17 01:44:20,0,34,SDS_P1,PM10,Пил 10 мкм,ug/m3,мкг/м³,17.31,1.0000000000,2023-04-17 01:44:20,0,1
774,Станція замостя,49.245473,28.493727,2023-04-17 01:44:20,0,23,BME280_temperature,Temperature,Температура,°C,°C,8.57,1.0000000000,2023-04-17 01:44:20,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:44:20,0,24,BME280_humidity,Humidity,Вологість,%,%,100.00,1.0000000000,2023-04-17 01:44:20,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:44:20,0,25,BME280_pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98983.36,0.0075006168,2023-04-17 01:44:20,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 01:44:20,0,7,CO2,CO₂,CO₂,ppm,ppm,400.00,1.0000000000,2023-04-17 01:44:20,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:44:04,0,33,SDS_P2,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,10.10,1.0000000000,2023-04-17 01:44:04,0,2
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:44:04,0,34,SDS_P1,PM10,Пил 10 мкм,ug/m3,мкг/м³,15.98,1.0000000000,2023-04-17 01:44:04,0,1
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:44:04,0,23,BME280_temperature,Temperature,Температура,°C,°C,10.00,1.0000000000,2023-04-17 01:44:04,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:44:04,0,24,BME280_humidity,Humidity,Вологість,%,%,77.17,1.0000000000,2023-04-17 01:44:04,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:44:04,0,25,BME280_pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98981.19,0.0075006168,2023-04-17 01:44:04,0,0
790,станція Вишенька,49.227009,28.418998,2023-04-17 01:44:04,0,7,CO2,CO₂,CO₂,ppm,ppm,400.00,1.0000000000,2023-04-17 01:44:04,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:44:02,0,38,pm0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,10.94,1.0000000000,2023-04-17 01:44:01,0,2
1434,Lun-129,49.230306,28.392620,2023-04-17 01:44:02,0,5,pm25,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,13.2,1.0000000000,2023-04-17 01:44:01,0,2
1434,Lun-129,49.230306,28.392620,2023-04-17 01:44:02,0,6,pm10,PM10,Пил 10 мкм,ug/m3,мкг/м³,16.64,1.0000000000,2023-04-17 01:44:01,0,1
1434,Lun-129,49.230306,28.392620,2023-04-17 01:44:02,0,1,temperature,Temperature,Температура,°C,°C,7.94,1.0000000000,2023-04-17 01:44:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:44:02,0,2,humidity,Humidity,Вологість,%,%,100,1.0000000000,2023-04-17 01:44:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 01:44:02,0,3,pressure,Pressure,Атмосферний тиск,hPa,мм.рт.ст.,989.76,0.7500615758,2023-04-17 01:44:01,0,0
1769,Lun-315,49.243687,28.496432,2023-04-17 01:44:02,0,38,pm0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,7.56,1.0000000000,2023-04-17 01:44:01,0,1
1769,Lun-315,49.243687,28.496432,2023-04-17 01:44:02,0,5,pm25,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,9.54,1.0000000000,2023-04-17 01:44:01,0,1
1769,Lun-315,49.243687,28.496432,2023-04-17 01:44:02,0,6,pm10,PM10,Пил 10 мкм,ug/m3,мкг/м³,12.71,1.0000000000,2023-04-17 01:44:01,0,1
1769,Lun-315,49.243687,28.496432,2023-04-17 01:44:02,0,1,temperature,Temperature,Температура,°C,°C,10.31,1.0000000000,2023-04-17 01:44:01,0,0
1769,Lun-315,49.243687,28.496432,2023-04-17 01:44:02,0,2,humidity,Humidity,Вологість,%,%,84.2,1.0000000000,2023-04-17 01:44:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 02:00:01,0,38,pm0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,11.34,1.0000000000,2023-04-17 02:00:01,0,2
1434,Lun-129,49.230306,28.392620,2023-04-17 02:00:01,0,5,pm25,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,13.77,1.0000000000,2023-04-17 02:00:01,0,2
1434,Lun-129,49.230306,28.392620,2023-04-17 02:00:01,0,6,pm10,PM10,Пил 10 мкм,ug/m3,мкг/м³,17.25,1.0000000000,2023-04-17 02:00:01,0,1
1434,Lun-129,49.230306,28.392620,2023-04-17 02:00:01,0,1,temperature,Temperature,Температура,°C,°C,7.99,1.0000000000,2023-04-17 02:00:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 02:00:01,0,2,humidity,Humidity,Вологість,%,%,100,1.0000000000,2023-04-17 02:00:01,0,0
1434,Lun-129,49.230306,28.392620,2023-04-17 02:00:01,0,3,pressure,Pressure,Атмосферний тиск,hPa,мм.рт.ст.,989.61,0.7500615758,2023-04-17 02:00:01,0,0
1769,Lun-315,49.243687,28.496432,2023-04-17 02:00:01,0,38,pm0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,8.15,1.0000000000,2023-04-17 02:00:01,0,1
1769,Lun-315,49.243687,28.496432,2023-04-17 02:00:01,0,5,pm25,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,9.95,1.0000000000,2023-04-17 02:00:01,0,1
1769,Lun-315,49.243687,28.496432,2023-04-17 02:00:01,0,6,pm10,PM10,Пил 10 мкм,ug/m3,мкг/м³,12.44,1.0000000000,2023-04-17 02:00:01,0,1
1769,Lun-315,49.243687,28.496432,2023-04-17 02:00:01,0,1,temperature,Temperature,Температура,°C,°C,10.32,1.0000000000,2023-04-17 02:00:01,0,0
1769,Lun-315,49.243687,28.496432,2023-04-17 02:00:01,0,2,humidity,Humidity,Вологість,%,%,84.02,1.0000000000,2023-04-17 02:00:01,0,0
774,Станція замостя,49.245473,28.493727,2023-04-17 02:14:03,0,33,SDS_P2,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,12.96,1.0000000000,2023-04-17 02:14:03,0,2
774,Станція замостя,49.245473,28.493727,2023-04-17 02:14:03,0,34,SDS_P1,PM10,Пил 10 мкм,ug/m3,мкг/м³,15.69,1.0000000000,2023-04-17 02:14:03,0,1
