stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2025-09-18 00:59:45,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,0.7205,1.0000000000,2025-09-18 00:59:45,0,0
650,дім,49.343484,28.729830,2025-09-18 00:59:45,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,0.4947,1.0000000000,2025-09-18 00:59:45,0,0
650,дім,49.343484,28.729830,2025-09-18 00:59:45,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,10.0000,1.2450000000,2025-09-18 00:59:45,0,0
650,дім,49.343484,28.729830,2025-09-18 00:59:45,0,E1,Temperature,Temperature,Температура,°C,°C,14.4005,1.0000000000,2025-09-18 00:59:45,0,0
650,дім,49.343484,28.729830,2025-09-18 00:59:45,0,E2,Humidity,Humidity,Вологість,%,%,90.9247,1.0000000000,2025-09-18 00:59:45,0,0
650,дім,49.343484,28.729830,2025-09-18 00:59:45,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98682.9784,0.0075006168,2025-09-18 00:59:45,0,0
774,Станція замостя,49.245473,28.493727,2025-09-18 00:59:28,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,4.6768,1.0000000000,2025-09-18 00:59:28,0,0
774,Станція замостя,49.245473,28.493727,2025-09-18 00:59:28,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,2.0537,1.0000000000,2025-09-18 00:59:28,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-09-18 00:59:36,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,2.6037,1.0000000000,2025-09-18 00:59:36,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-09-18 00:59:36,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,1.1705,1.0000000000,2025-09-18 00:59:36,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-09-18 00:59:36,0,E1,Temperature,Temperature,Температура,°C,°C,11.4579,1.0000000000,2025-09-18 00:59:36,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-09-18 00:59:36,0,E2,Humidity,Humidity,Вологість,%,%,100.0000,1.0000000000,2025-09-18 00:59:36,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-09-18 00:59:36,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98499.0047,0.0075006168,2025-09-18 00:59:36,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,15.8516,1.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,14.8516,1.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,A4,PM1.0,PM1.0,Пил 1.0 мкм,ug/m3,мкг/м³,11.0811,1.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,B2,CO,CO,Монооксид вуглецю,ppm,мкг/м³,0.0000,1164.2000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,B3,O₃,O₃,O₃,ppm,мкг/м³,0.0200,1995.7000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),mg/m3,мкг/м³,0.0150,1000.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,E1,Temperature,Temperature,Температура,°C,°C,12.5747,1.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,E1,Temperature,Temperature,Температура,°C,°C,10.7474,1.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,E1,Temperature,Temperature,Температура,°C,°C,13.9089,1.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,E2,Humidity,Humidity,Вологість,%,%,99.0079,1.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,E2,Humidity,Humidity,Вологість,%,%,82.0000,1.0000000000,2025-09-18 00:59:10,0,0
1315,Vinnytsia National Technical University,49.23327,28.409161,2025-09-18 00:59:10,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98486.0063,0.0075006168,2025-09-18 00:59:10,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-09-18 00:59:09,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,7.3842,1.0000000000,2025-09-18 00:59:09,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-09-18 00:59:09,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,1.8684,1.0000000000,2025-09-18 00:59:09,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-09-18 00:59:09,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,14.1426,1.0000000000,2025-09-18 00:59:09,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-09-18 00:59:09,0,E1,Temperature,Temperature,Температура,°C,°C,12.4168,1.0000000000,2025-09-18 00:59:09,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-09-18 00:59:09,0,E1,Temperature,Temperature,Температура,°C,°C,13.2737,1.0000000000,2025-09-18 00:59:09,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-09-18 00:59:09,0,E2,Humidity,Humidity,Вологість,%,%,74.8200,1.0000000000,2025-09-18 00:59:09,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-09-18 00:59:09,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98741.0763,0.0075006168,2025-09-18 00:59:09,0,0
1825,Центральна площа,49.105637,29.206617,2025-09-18 00:59:13,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,1999.9000,1.0000000000,2025-09-18 00:59:13,0,0
