stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2025-04-28 01:00:24,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,15.7132,1.0000000000,2025-04-28 01:00:24,0,0
650,дім,49.343484,28.729830,2025-04-28 01:00:24,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,9.2958,1.0000000000,2025-04-28 01:00:24,0,0
650,дім,49.343484,28.729830,2025-04-28 01:00:24,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,10.0000,1.2450000000,2025-04-28 01:00:24,0,0
650,дім,49.343484,28.729830,2025-04-28 01:00:24,0,E1,Temperature,Temperature,Температура,°C,°C,8.0032,1.0000000000,2025-04-28 01:00:24,0,0
650,дім,49.343484,28.729830,2025-04-28 01:00:24,0,E2,Humidity,Humidity,Вологість,%,%,45.7811,1.0000000000,2025-04-28 01:00:24,0,0
650,дім,49.343484,28.729830,2025-04-28 01:00:24,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,100049.3268,0.0075006168,2025-04-28 01:00:24,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-04-28 00:59:49,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,9.9063,1.0000000000,2025-04-28 00:59:49,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-04-28 00:59:49,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,3.2811,1.0000000000,2025-04-28 00:59:49,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-04-28 00:59:49,0,E1,Temperature,Temperature,Температура,°C,°C,7.4647,1.0000000000,2025-04-28 00:59:49,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-04-28 00:59:49,0,E2,Humidity,Humidity,Вологість,%,%,46.5458,1.0000000000,2025-04-28 00:59:49,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-04-28 00:59:49,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99790.2916,0.0075006168,2025-04-28 00:59:49,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-04-28 00:59:53,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,18.2789,1.0000000000,2025-04-28 00:59:53,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-04-28 00:59:53,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,6.7789,1.0000000000,2025-04-28 00:59:53,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-04-28 00:59:53,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,14.2868,1.0000000000,2025-04-28 00:59:53,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-04-28 00:59:53,0,E1,Temperature,Temperature,Температура,°C,°C,6.8232,1.0000000000,2025-04-28 00:59:53,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-04-28 00:59:53,0,E1,Temperature,Temperature,Температура,°C,°C,5.9342,1.0000000000,2025-04-28 00:59:53,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-04-28 00:59:53,0,E2,Humidity,Humidity,Вологість,%,%,50.5247,1.0000000000,2025-04-28 00:59:53,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-04-28 00:59:53,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,100011.7784,0.0075006168,2025-04-28 00:59:53,0,0
1825,Центральна площа,49.105637,29.206617,2025-04-28 01:00:32,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,1999.9000,1.0000000000,2025-04-28 01:00:32,0,0
1825,Центральна площа,49.105637,29.206617,2025-04-28 01:00:32,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,999.9000,1.0000000000,2025-04-28 01:00:32,0,0
1825,Центральна площа,49.105637,29.206617,2025-04-28 01:00:32,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,15.4825,1.0000000000,2025-04-28 01:00:32,0,0
1825,Центральна площа,49.105637,29.206617,2025-04-28 01:00:32,0,E1,Temperature,Temperature,Температура,°C,°C,3.8975,1.0000000000,2025-04-28 01:00:32,0,0
1825,Центральна площа,49.105637,29.206617,2025-04-28 01:00:32,0,E1,Temperature,Temperature,Температура,°C,°C,2.5730,1.0000000000,2025-04-28 01:00:32,0,0
1825,Центральна площа,49.105637,29.206617,2025-04-28 01:00:32,0,E2,Humidity,Humidity,Вологість,%,%,64.6325,1.0000000000,2025-04-28 01:00:32,0,0
1825,Центральна площа,49.105637,29.206617,2025-04-28 01:00:32,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,100494.0840,0.0075006168,2025-04-28 01:00:32,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-04-28 01:00:14,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,25.2000,1.0000000000,2025-04-28 01:00:14,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-04-28 01:00:14,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,9.7000,1.0000000000,2025-04-28 01:00:14,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-04-28 01:00:14,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,9.2173,1.0000000000,2025-04-28 01:00:14,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-04-28 01:00:14,0,E1,Temperature,Temperature,Температура,°C,°C,3.2147,1.0000000000,2025-04-28 01:00:14,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-04-28 01:00:14,0,E1,Temperature,Temperature,Температура,°C,°C,2.8987,1.0000000000,2025-04-28 01:00:14,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-04-28 01:00:14,0,E2,Humidity,Humidity,Вологість,%,%,70.9727,1.0000000000,2025-04-28 01:00:14,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-04-28 01:00:14,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99808.8027,0.0075006168,2025-04-28 01:00:14,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-04-28 01:00:32,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,24.0700,1.0000000000,2025-04-28 01:00:32,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-04-28 01:00:32,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,8.3000,1.0000000000,2025-04-28 01:00:32,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-04-28 01:00:32,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,13.9175,1.0000000000,2025-04-28 01:00:32,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-04-28 01:00:32,0,E1,Temperature,Temperature,Температура,°C,°C,7.2930,1.0000000000,2025-04-28 01:00:32,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-04-28 01:00:32,0,E1,Temperature,Temperature,Температура,°C,°C,6.1180,1.0000000000,2025-04-28 01:00:32,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-04-28 01:00:32,0,E2,Humidity,Humidity,Вологість,%,%,57.0585,1.0000000000,2025-04-28 01:00:32,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-04-28 01:00:32,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,100157.8265,0.0075006168,2025-04-28 01:00:32,0,0
1909,VNTU2,49.2330582,28.4103502,2025-04-28 01:00:32,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,6.2947,1.0000000000,2025-04-28 01:00:32,0,0
1909,VNTU2,49.2330582,28.4103502,2025-04-28 01:00:32,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,2.5000,1.0000000000,2025-04-28 01:00:32,0,0
1909,VNTU2,49.2330582,28.4103502,2025-04-28 01:00:32,0,B1,NO₂,NO₂,Діоксид азоту,ppm,мкг/м³,0.0521,1912.5000000000,2025-04-28 01:00:32,0,0
1909,VNTU2,49.2330582,28.4103502,2025-04-28 01:00:32,0,B2,CO,CO,Монооксид вуглецю,ppm,мкг/м³,1.4608,1164.2000000000,2025-04-28 01:00:32,0,0
