stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2025-06-30 00:59:44,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,1.3168,1.0000000000,2025-06-30 00:59:44,0,0
650,дім,49.343484,28.729830,2025-06-30 00:59:44,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,1.0368,1.0000000000,2025-06-30 00:59:44,0,0
650,дім,49.343484,28.729830,2025-06-30 00:59:44,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,10.0000,1.2450000000,2025-06-30 00:59:44,0,0
650,дім,49.343484,28.729830,2025-06-30 00:59:44,0,E1,Temperature,Temperature,Температура,°C,°C,22.0747,1.0000000000,2025-06-30 00:59:44,0,0
650,дім,49.343484,28.729830,2025-06-30 00:59:44,0,E2,Humidity,Humidity,Вологість,%,%,77.6342,1.0000000000,2025-06-30 00:59:44,0,0
650,дім,49.343484,28.729830,2025-06-30 00:59:44,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98152.2021,0.0075006168,2025-06-30 00:59:44,0,0
774,Станція замостя,49.245473,28.493727,2025-06-30 00:59:22,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,3.9347,1.0000000000,2025-06-30 00:59:22,0,0
774,Станція замостя,49.245473,28.493727,2025-06-30 00:59:22,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,2.0653,1.0000000000,2025-06-30 00:59:22,0,0
774,Станція замостя,49.245473,28.493727,2025-06-30 00:59:22,0,E1,Temperature,Temperature,Температура,°C,°C,21.3842,1.0000000000,2025-06-30 00:59:22,0,0
774,Станція замостя,49.245473,28.493727,2025-06-30 00:59:22,0,E2,Humidity,Humidity,Вологість,%,%,93.7863,1.0000000000,2025-06-30 00:59:22,0,0
